   .Foto #1	-- Fecha	02/09/2025---10:02:17 a. m.
   	Wavelength	Dark Substract	
3.525905E+2	-1.802212E+0
3.527028E+2	7.679883E+0
3.528151E+2	3.174352E+0
3.529274E+2	2.662359E+0
3.530397E+2	9.011062E+0
3.531519E+2	-4.730808E+0
3.532642E+2	-4.075458E+0
3.533764E+2	4.894645E+0
3.534886E+2	-6.553500E-1
3.536008E+2	2.478042E+0
3.537130E+2	6.184866E+0
3.538252E+2	2.785237E+0
3.539374E+2	-1.658855E+0
3.540495E+2	-2.314205E+0
3.541616E+2	1.026032E+1
3.542738E+2	6.143906E-2
3.543859E+2	4.280255E+0
3.544980E+2	4.526011E+0
3.546101E+2	3.870661E+0
3.547221E+2	6.758297E-1
3.548342E+2	6.389662E+0
3.549463E+2	-1.925091E+0
3.550583E+2	1.167342E+1
3.551703E+2	5.324719E+0
3.552823E+2	4.935605E+0
3.553943E+2	-5.734313E-1
3.555063E+2	-2.990034E+0
3.556183E+2	9.154420E+0
3.557302E+2	-1.413098E+0
3.558422E+2	7.045012E+0
3.559541E+2	5.836711E+0
3.560660E+2	9.871209E+0
3.561779E+2	4.730808E+0
3.562898E+2	2.457563E+0
3.564017E+2	-2.867156E-1
3.565136E+2	-3.256270E+0
3.566254E+2	6.143906E-1
3.567372E+2	4.751288E+0
3.568491E+2	-3.604425E+0
3.569609E+2	7.864200E+0
3.570727E+2	-1.044464E+0
3.571845E+2	1.433578E-1
3.572962E+2	4.566970E+0
3.574080E+2	-3.932100E+0
3.575197E+2	4.730808E+0
3.576315E+2	-2.805717E+0
3.577432E+2	3.375053E+1
3.578549E+2	8.376192E+0
3.579666E+2	9.113461E+0
3.580783E+2	-1.331180E+0
3.581900E+2	-5.734313E-1
3.583016E+2	1.843172E-1
3.584133E+2	3.973059E+0
3.585249E+2	1.314796E+1
3.586365E+2	7.577484E+0
3.587481E+2	-1.269741E+0
3.588597E+2	8.990583E+0
3.589713E+2	9.809770E+0
3.590829E+2	3.665864E+0
3.591944E+2	1.112047E+1
3.593059E+2	1.740773E+0
3.594175E+2	1.497065E+1
3.595290E+2	3.891141E-1
3.596405E+2	6.963094E+0
3.597520E+2	3.932100E+0
3.598635E+2	3.297230E+0
3.599749E+2	1.638375E-1
3.600864E+2	8.806266E-1
3.601978E+2	3.174352E+0
3.603092E+2	6.717337E+0
3.604206E+2	6.143906E-1
3.605320E+2	1.597416E+0
3.606434E+2	4.710328E+0
3.607548E+2	4.444092E+0
3.608661E+2	9.707372E+0
3.609775E+2	8.990583E+0
3.610888E+2	-7.167891E-1
3.612001E+2	1.390571E+1
3.613115E+2	-3.911620E+0
3.614227E+2	6.000548E+0
3.615340E+2	8.847225E+0
3.616453E+2	9.584494E+0
3.617566E+2	3.973059E+0
3.618678E+2	5.672873E+0
3.619790E+2	6.410142E+0
3.620902E+2	1.966050E+0
3.622014E+2	-9.011063E-1
3.623126E+2	3.379148E+0
3.624238E+2	4.075458E+0
3.625350E+2	-3.215311E+0
3.626461E+2	-3.215311E+0
3.627573E+2	3.379148E+0
3.628684E+2	1.105903E+0
3.629795E+2	9.482095E+0
3.630906E+2	1.740773E+0
3.632017E+2	7.782281E-1
3.633128E+2	1.511401E+1
3.634238E+2	1.335276E+1
3.635349E+2	1.212398E+1
3.636459E+2	-1.372139E+0
3.637570E+2	5.304239E+0
3.638680E+2	-4.095938E-1
3.639790E+2	1.515497E+1
3.640900E+2	-5.119922E-1
3.642009E+2	1.056752E+1
3.643119E+2	8.089477E+0
3.644228E+2	2.723798E+0
3.645338E+2	6.410142E+0
3.646447E+2	4.689848E+0
3.647556E+2	-3.563466E+0
3.648665E+2	9.604973E+0
3.649774E+2	7.167891E+0
3.650883E+2	-1.105903E+0
3.651991E+2	8.519550E+0
3.653100E+2	1.710054E+1
3.654208E+2	1.331180E+1
3.655316E+2	7.823241E+0
3.656424E+2	2.703319E+0
3.657532E+2	8.724347E+0
3.658640E+2	1.843172E+0
3.659748E+2	5.181361E+0
3.660855E+2	4.505531E+0
3.661963E+2	1.134575E+1
3.663070E+2	-3.153872E+0
3.664177E+2	-4.648889E+0
3.665284E+2	8.929144E+0
3.666391E+2	6.471581E+0
3.667498E+2	1.044464E+0
3.668605E+2	-1.083375E+1
3.669711E+2	6.983573E+0
3.670818E+2	-1.740773E+0
3.671924E+2	7.618444E+0
3.673030E+2	6.553500E-1
3.674136E+2	8.478591E+0
